Hylian Hood,"Clothes,Hylian Gear,Rupee",0
Hylian Tunic,"Clothes,Hylian Gear,Rupee,Rupee",0
Warm Doublet,"Clothes,Cold Resistance,Hateno",0
3 Great Plateau Koroks,"Korok,Plateau",0
Hylian Trousers,"Clothes,Hylian Gear,Rupee",0
Any 'Boko' Equipment item,Equipment,0
Rock-Hard Food,Cooking,0
3 Dueling Peaks Koroks,"Korok,Dueling Peaks",1
3 Central Tower Koroks,"Korok,Central Hyrule",1
5 Koroks,Korok,1
Any 'Rusty' Equipment item,Equipment,1
Soup Ladle,Equipment,1
Any Spicy meal,"Cooking,Cold Resistance",1
3 Hateno Koroks,"Korok,Hateno",2
3 Faron Koroks,"Korok,Faron",2
3 Ridgeland Koroks,"Korok,Ridgeland",2
Any Energizing meal,"Cooking,Stamina",2
Give Beedle a Beetle,Horse,2
Register a Horse,Horse,2
Anger a Cucco,Cucco,2
Activate Dueling Peaks Tower,"Tower,Dueling Peaks",2
1 Koko Cooking Side Quest,"Side Quest,Dueling Peaks",2
Any Hasty meal,Cooking,2
5 Great Plateau Koroks,"Korok,Plateau",3
3 Lake Tower Koroks,"Korok,Lake",3
'Playtime with Cottla' Side Quest,"Side Quest,Dueling Peaks",3
'Watch Out for the Flowers' Shrine Quest,"Shrine,Shrine Quest,Dueling Peaks",3
Any Enduring meal,"Cooking,Stamina",3
Any Mighty meal,Cooking,3
Any Sneaky meal,Cooking,3
Dubious Food,Cooking,3
Any Stalfos 'Arm' Equipment item,Equipment,3
6 Dueling Peaks Koroks,"Korok,Dueling Peaks",4
3 Wasteland Koroks,"Korok,Wasteland",4
3 Woodland Koroks,"Korok,Woodland",4
3 Lanayru Koroks,"Korok,Lanayru",4
'The Priceless Maracas' Side Quest,"Side Quest,Dueling Peaks",4
'Wild Horses' Side Quest,"Side Quest,Dueling Peaks,Horse",4
'The Statue's Bargain' Side Quest,"Side Quest,Hateno",4
Open 2 Bokoblin Camp Chests,Plateau,4
Save a Traveler in Peril,Monster,4
3 Side Quests,Side Quest,4
Activate Lake Tower,"Tower,Lake",5
3 Tabantha Koroks,"Korok,Tabantha",5
10 Koroks,Korok,5
Pay 1 Great Fairy,"Rupee,Great Fairy",5
Full Hylian Set,"Clothes,Hylian Gear,Rupee",5
2 Koko Cooking Side Quests,"Side Quest,Dueling Peaks",5
'Arrows of Burning Heat' Side Quest,"Side Quest,Dueling Peaks",5
Any Hearty meal,Cooking,5
Hasty Elixir,Cooking,5
Mighty Elixir,Cooking,5
Sneaky Elixir,Cooking,5
3 Eldin Koroks,"Korok,Eldin",6
3 Akkala Koroks,"Korok,Akkala",6
Soldier's Helm,"Clothes,Soldier Gear,Rupee,Hateno",6
Soldier's Armor,"Clothes,Soldier Gear,Rupee,Hateno",6
Soldier's Greaves,"Clothes,Soldier Gear,Rupee,Hateno",6
Stealth Mask,"Clothes,Stealth Gear,Rupee,Dueling Peaks",6
Stealth Tights,"Clothes,Stealth Gear,Rupee,Dueling Peaks",6
Climber's Bandanna,"Clothes,Climbing Gear,Dueling Peaks",6
'Flown the Coop' Side Quest,"Side Quest,Dueling Peaks,Heirloom",6
'The Apple of My Eye' Side Quest,"Side Quest,Tabantha",6
A Minor Test of Strength Shrine,"Shrine,Guardian",6
Farming Hoe,Equipment,6
Any Tough meal,Cooking,6
Hearty Elixir,Cooking,6
Energizing Elixir,Cooking,6
Chilly Elixir,Cooking,6
Enduring Elixir,Cooking,6
Tough Elixir,Cooking,6
Kill a Wizzrobe of any kind,Wizzrobe,6
Kill a Stone Talus of any kind,"Rupee,Gems,Miniboss,Talus",6
Kill a (normal) Stone Talus,"Rupee,Gems,Miniboss,Talus",6
Kill a Decayed Guardian,"Miniboss,Guardian",6
Mount a Deer,Horse,6
Obtain a Purple Rupee,Rupee,6
Read Paya's Diary,Dueling Peaks,6
Read Purah's Diary,Hateno,6
Activate Hateno Tower,"Tower,Hateno",6
Activate Faron Tower,"Tower,Faron",6
Activate Wasteland Tower,"Tower,Wasteland",6
Activate Ridgeland Tower,"Tower,Ridgeland",6
4 Side Quests,Side Quest,6
Any Rod weapon,"Equipment,Wizzrobe",6
6 Hateno Koroks,"Korok,Hateno",7
6 Lake Tower Koroks,"Korok,Lake",7
6 Wasteland Koroks,"Korok,Wasteland",7
"'Misko, the Great Bandit' Side Quest","Side Quest,Dueling Peaks",7
'Riverbed Reward' Side Quest,"Side Quest,Central Hyrule",7
6 Faron Koroks,"Korok,Faron",8
3 Gerudo Koroks,"Korok,Gerudo",8
6 Ridgeland Koroks,"Korok,Ridgeland",8
3 Hebra Koroks,"Korok,Hebra,Cold Resistance",8
6 Woodland Koroks,"Korok,Woodland",8
6 Lanayru Koroks,Korok. Lanayru,8
6 Central Tower Koroks,"Korok,Central Hyrule",8
Rubber Helm,"Clothes,Rubber Gear,Faron",8
Rubber Armor,"Clothes,Rubber Gear,Ridgeland",8
Rubber Tights,"Clothes,Rubber Gear,Faron",8
Stealth Chest Guard,"Clothes,Stealth Gear,Rupee,Dueling Peaks",8
'Sunken Treasure' Side Quest,"Side Quest,Hateno",8
'The Hero's Cache' Side Quest,"Side Quest,Hateno",8
'Thunder Magnet' Side Quest,"Side Quest,Faron,Rubber Gear",8
'A Good-Sized Horse' Side Quest,"Side Quest,Wasteland,Horse",8
'The Spark of Romance' Side Quest,"Side Quest,Tabantha",8
'A Gift for the Great Fairy' Side Quest,"Side Quest,Tabantha,Rupee,Great Fairy",8
'Balloon Flight' Side Quest,"Side Quest,Woodland",8
'The Two Rings' Shrine Quest,"Shrine,Shrine Quest,Ridgeland",8
Any Boomerang,Equipment,8
Any 'Lizal' Equipment item,Equipment,8
Boat Oar,Equipment,8
Any 'Moblin' Equipment item,Equipment,8
Wooden Mop,Equipment,8
Any Chilly meal,"Cooking,Wasteland",8
Any Electro meal,Cooking,8
Spicy Elixir,Cooking,8
Electro Elixir,Cooking,8
Kill a fire-typed Wizzrobe,Wizzrobe,8
Kill an electric-typed Wizzrobe,Wizzrobe,8
Kill a Hinox of any kind,"Miniboss,Hinox",8
Kill a (red) Hinox,"Miniboss,Hinox",8
Activate Central Tower,"Tower,Central Hyrule",8
Any Fairy Tonic,Cooking,8
500m in the Gliding Minigame,"Minigame,Ridgeland",9
Activate Lanayru Tower,"Tower,Lanayru",9
Red Dyed Hylian Hood,"Clothes,Hylian Gear,Hateno",9
Yellow Dyed Hylian Hood,"Clothes,Hylian Gear,Hateno",9
Purple Dyed Hylian Hood,"Clothes,Hylian Gear,Hateno",9
Green Dyed Hylian Hood,"Clothes,Hylian Gear,Hateno",9
Light Yellow Dyed Hylian Hood,"Clothes,Hylian Gear,Hateno",9
Gray Dyed Hylian Hood,"Clothes,Hylian Gear,Hateno",9
3 Koko Cooking Side Quests,"Side Quest,Dueling Peaks",9
Glazed Meat,Cooking,9
6 Tabantha Koroks,"Korok,Tabantha",10
6 Akkala Koroks,"Korok,Akkala",10
Gerudo Set,"Clothes,Wasteland,Rupee",10
'A Gift of Nightshade' Side Quest,"Side Quest,Faron",10
'The Horseback Hoodlums' Side Quest,"Side Quest,Lake",10
'The Royal White Stallion' Side Quest,"Side Quest,Central Hyrule,Horse,Stamina",10
'The Cursed Statue' Shrine Quest,"Shrine,Shrine Quest,Hateno",10
Fishing Harpoon,Equipment,10
3 Identical Weapons,Equipment,10
Fireproof Elixir,Cooking,10
Hard-Boiled Egg,Cooking,10
Kill an ice-typed Wizzrobe,Wizzrobe,10
Obtain a Silver Rupee,Rupee,10
Activate Tabantha Tower,"Tower,Tabantha",10
Activate Woodland Tower,"Tower,Woodland",10
15 Koroks,Korok,11
Zora Helm,"Clothes,Zora Gear,Lanayru",11
'An Ice Guy' Side Quest,"Side Quest,Wasteland",11
3 Dueling Peaks Shrines,"Shrine,Dueling Peaks",11
'A Landscape of a Stable' Shrine Quest,"Shrine,Shrine Quest,Eldin",11
Any 'Zora' Equipment item,Equipment,11
Any Ice-typed Equipment item,Equipment,11
Snowquill Tunic,"Clothes,Snow Gear,Cold Resistance,Rupee,Tabantha",12
Snowquill Trousers,"Clothes,Snow Gear,Cold Resistance,Rupee,Tabantha",12
Zora Armor,"Clothes,Zora Gear,Lanayru",12
Blue Dyed Hylian Hood,"Clothes,Hylian Gear,Hateno",12
White Dyed Hylian Hood,"Clothes,Hylian Gear,Hateno",12
Light Blue Dyed Hylian Hood,"Clothes,Hylian Gear,Hateno",12
Orange Dyed Hylian Hood,"Clothes,Hylian Gear,Hateno",12
Crimson Dyed Hylian Hood,"Clothes,Hylian Gear,Hateno",12
Brown Dyed Hylian Hood,"Clothes,Hylian Gear,Hateno",12
4 Koko Cooking Side Quests,"Side Quest,Dueling Peaks",12
'The Sheep Rustlers' Side Quest,"Side Quest,Hateno",12
'Diving is Beauty!' Side Quest,"Side Quest,Lanayru",12
'Crowned Beast' Shrine Quest,"Shrine,Shrine Quest,Hateno,Horse",12
Salt-Grilled Crab,Cooking,12
2 Stamina Vessels,"Shrine,Stamina",12
Read Robbie's Diary,Akkala,12
Activate Gerudo Tower,"Tower,Gerudo",12
Activate Eldin Tower,"Tower,Eldin",12
'Twin Memories' Shrines,"Shrine,Shrine Quest,Dueling Peaks",12
7 Great Plateau Koroks,"Korok,Plateau",13
9 Dueling Peaks Koroks,"Korok,Dueling Peaks",13
9 Hateno Koroks,"Korok,Hateno",13
9 Lake Tower Koroks,"Korok,Lake",13
9 Central Tower Koroks,"Korok,Central Hyrule",13
Hylian Hood ★,"Clothes,Hylian Gear,Rupee,Great Fairy,Bokoblin",13
Hylian Tunic ★,"Clothes,Hylian Gear,Rupee,Great Fairy,Bokoblin",13
Hylian Trousers ★,"Clothes,Hylian Gear,Rupee,Great Fairy,Bokoblin",13
'Song of Storms' Shrine Quest,"Shrine,Shrine Quest,Faron",13
6 Hebra Koroks,"Korok,Hebra,Cold Resistance",14
6 Eldin Koroks,"Korok,Eldin",14
Full Soldier's Set,"Clothes,Soldier Gear,Rupee,Hateno",14
Snowquill Headdress,"Clothes,Snow Gear,Cold Resistance,Rupee,Tabantha",14
Flamebreaker Armor,"Clothes,Flame Gear,Eldin,Rupee",14
Flamebreaker Boots,"Clothes,Flame Gear,Eldin,Rupee",14
Black Dyed Hylian Hood,"Clothes,Hylian Gear,Hateno",14
Navy Dyed Hylian Hood,"Clothes,Hylian Gear,Hateno",14
Peach Dyed Hylian Hood,"Clothes,Hylian Gear,Hateno",14
'A Freezing Rod' Side Quest,"Side Quest,Woodland,Wizzrobe",14
3 Lake Shrines,"Shrine,Lake",14
3 Central Tower Shrines,"Shrine,Central Hyrule",14
Any 'Forest Dweller's' Equipment item,Equipment,14
Any Fire-typed Equipment item,Equipment,14
Any Electric-typed Equipment item,Equipment,14
Any Guardian Spear,"Equipment,Guardian",14
Copious Fish Skewers,Cooking,14
Kill a Guardian Stalker,"Miniboss,Guardian",14
Register the Royal Horse,"Horse,Central Hyrule,Stamina",14
Obtain a Gold Rupee,Rupee,14
5 Heart Containers,"Shrine,Heart",14
5 Deer in Hunting Minigame,"Minigame,Hateno",14
6 Gerudo Koroks,"Korok,Gerudo",15
'Master of the Wind' Shrine Quest,"Shrine,Shrine Quest,Lanayru",15
Fruitcake,Cooking,15
Talk to Kilton,"Kilton,Akkala",15
Activate Hebra Tower,"Tower,Hebra,Cold Resistance",15
'The Secret Club's Secret' Side Quest,"Side Quest,Wasteland,Radiant Gear,Desert Gear",15
9 Faron Koroks,"Korok,Faron",16
9 Ridgeland Koroks,"Korok,Ridgeland",16
9 Lanayru Koroks,Korok. Lanayru,16
Climbing Boots,"Clothes,Climbing Gear,Hateno",16
'What's for Dinner?' Side Quest,"Side Quest,Faron",16
'Missing in Action' Side Quest,"Side Quest,Wasteland",16
'Fireproof Lizard Roundup' Side Quest,"Side Quest,Eldin,Flame Gear",16
3 Ridgeland Shrines,"Shrine,Ridgeland",16
1 Korok Trial,"Shrine,Shrine Quest,Woodland",16
Any Guardian Sword,"Equipment,Guardian",16
3 Identical Shields,Equipment,16
3 Identical Bows,Equipment,16
Apple Pie,"Cooking,Tabantha",16
Curry Pilaf,Cooking,16
Kill a Blue Hinox,"Miniboss,Hinox",16
Finish Golf Minigame,"Minigame,Woodland",16
Activate Akkala Tower,"Tower,Akkala",16
Obtain a Material from Farosh,Dragon,16
9 Wasteland Koroks,"Korok,Wasteland",17
9 Tabantha Koroks,"Korok,Tabantha",17
9 Woodland Koroks,"Korok,Woodland",17
9 Akkala Koroks,"Korok,Akkala",17
'Hunt for the Giant Horse' Side Quest,"Side Quest,Lake,Horse,Stamina",17
Any Guardian Shield,"Equipment,Guardian",17
Cream of Mushroom Soup,Cooking,17
Climber's Bandanna ★,"Clothes,Climbing Gear,Great Fairy",18
Barbarian Armor,"Clothes,Barbarian Gear,Wasteland",18
'Take Back the Sea' Side Quest,"Side Quest,Faron",18
3 Faron Shrines,"Shrine,Faron",18
3 Wasteland Shrines,"Shrine,Wasteland",18
A Modest Test of Strength Shrine,"Shrine,Guardian",18
'Secret of the Cedars' Shrine Quest,"Shrine,Shrine Quest,Hateno",18
'The Desert Labyrinth' Shrine Quest,"Shrine,Shrine Quest,Wastelands,Barbarian Gear",18
'The Eye of the Sandstorm' Shrine Quest,"Shrine,Shrine Quest,Wastelands",18
'Into the Vortex' Shrine Quest,"Shrine,Shrine Quest,Akkala",18
'The Skull's Eye' Shrine Quest,"Shrine,Shrine Quest,Akkala",18
Play the Bowling Minigame,"Minigame,Hebra,Cold Resistance",18
20 Koroks,Korok,19
Pay 2 Great Fairies,"Rupee,Great Fairy",19
3 Hateno Shrines,"Shrine,Hateno",19
3 Tabantha Shrines,"Shrine,Tabantha",19
3 Woodland Shrines,"Shrine,Woodland",19
Soldier's Armor ★,"Clothes,Soldier Gear,Rupee,Great Fairy",20
Desert Voe Headband,"Clothes,Desert Gear,Wasteland,Rupee",20
Desert Voe Trousers,"Clothes,Desert Gear,Wasteland,Rupee",20
Rubber Helm ★,"Clothes,Rubber Gear,Faron,Great Fairy",20
Stealth Mask ★,"Clothes,Stealth Gear,Rupee,Great Fairy",20
Stealth Chest Guard ★,"Clothes,Stealth Gear,Rupee,Great Fairy",20
Stealth Tights ★,"Clothes,Stealth Gear,Rupee,Great Fairy",20
Full Stealth Set,"Clothes,Stealth Gear,Rupee,Dueling Peaks",20
Barbarian Helm,"Clothes,Barbarian Gear,Akkala",20
'A Gift for My Beloved' Side Quest,"Side Quest,Hateno",20
3 Akkala Shrines,"Shrine,Akkala",20
'The Silent Swordswomen' Shrine Quest,"Shrine,Shrine Quest,Wastelands",20
'Secret of the Snowy Peaks' Shrine Quest,"Shrine,Shrine Quest,Wastelands,Cold Resistance",20
Forgotten Temple Shrine,"Shrine,Shrine Quest,Woodland",20
'Shrouded Shrine' Shrine Quest,"Shrine,Shrine Quest,Woodland",20
Akkala 'Trial of the Labyrinth' Shrine Quest,"Shrine,Shrine Quest,Akkala,Barbarian Gear",20
Any 'Royal Guard's' Equipment item,Equipment,20
Any second tier Rod weapon,"Equipment,Wizzrobe",20
Any Ancient Battle Axe,"Equipment,Guardian",20
Monster cake,"Cooking,Kilton",20
Wildberry Crepe,"Cooking,Tabantha",20
Kill a Stone Talus (Rare),"Rupee,Miniboss,Talus",20
Register the Giant Horse,"Horse,Lake,Stamina",20
Mount a Bear,"Horse,Stamina",20
Mount a Stalhorse,Horse,20
2000 Rupees,Rupee,20
Read King's Diary,Hyrule Castle,20
Take a Selfie with Hestu,"Dueling Peaks,Camera",20
'The Gut Check Challenge' Shrine Quest,"Shrine,Shrine Quest,Eldin",21
12 Dueling Peaks Koroks,"Korok,Dueling Peaks",21
12 Central Tower Koroks,"Korok,Central Hyrule",21
'A Royal Recipe' Side Quest,"Side Quest,Central Hyrule,Cooking",21
Read Zelda's Diary,Hyrule Castle,21
Sheikah Sensor +,"Camera,Rune Upgrade,Hateno",22
9 Eldin Koroks,"Korok,Eldin",22
Champion's Tunic,"Clothes,Champion,Camera",22
Soldier's Helm ★,"Clothes,Soldier Gear,Rupee,Great Fairy",22
Soldier's Greaves ★,"Clothes,Soldier Gear,Rupee,Great Fairy",22
Desert Voe Spaulder,"Clothes,Desert Gear,Wasteland,Rupee",22
Rubber Armor ★,"Clothes,Rubber Gear,Ridgeland,Great Fairy",22
Rubber Tights ★,"Clothes,Rubber Gear,Faron,Great Fairy",22
Zora Greaves,"Clothes,Zora Gear,Lanayru,Camera",22
Amber Earrings,"Clothes,Gems,Rupee,Wasteland",22
2 Shrine Quests,"Shrine,Shrine Quest",22
'The Seven Heroines' Shrine Quest,"Shrine,Shrine Quest,Wastelands",22
'Cliffside Etchings' Shrine Quest,"Shrine,Shrine Quest,Gerudo,Cold Resistance",23
'Sign of the Shadow' Shrine Quest,"Shrine,Shrine Quest,Gerudo",23
Collect 1 Picture Memory,Camera,22
Take a Selfie with Kass,Camera,22
3 Lanayru Shrines,"Shrine,Lanayru",22
'Sunshroom Sensing' Side Quest,"Side Quest,Hateno,Camera",22
'By Firefly's Light' Side Quest,"Side Quest,Dueling Peaks,Heirloom,Camera",22
12 Hateno Koroks,"Korok,Hateno",23
12 Lake Tower Koroks,"Korok,Lake",23
12 Ridgeland Koroks,"Korok,Ridgeland",23
9 Hebra Koroks,"Korok,Hebra,Cold Resistance",23
3 Hebra Shrines,"Shrine,Hebra,Cold Resistance",23
3 Eldin Shrines,"Shrine,Eldin",23
'Test of Will' Shrine Quest,"Shrine,Shrine Quest,Gerudo",23
Flamebreaker Helm,"Clothes,Flame Gear,Eldin,Rupee",24
Zora Armor ★,"Clothes,Zora Gear,Great Fairy,Lizalfos",24
Barbarian Leg Wraps,"Clothes,Barbarian Gear,Hebra",24
Kill a Guardian Turret,"Miniboss,Guardian,Hyrule Castle",24
5 Creatures in Compendium,"Camera,Compendium",24
5 Equipment in Compendium,"Camera,Compendium",24
Take a Selfie with Sidon,"Lanayru,Camera",24
Obtain a Material from Dinraal,Dragon,24
'The Serpent's Jaws' Shrine Quest,"Shrine,Shrine Quest,Lake,Dragon",24
Kill a Frost Talus,"Rupee,Gems,Miniboss,Talus,Cold Resistance",24
5 Monsters in Compendium,"Camera,Compendium",24
Finish Basic Shield Surfing Minigame,"Minigame,Hebra,Cold Resistance",24
Snow Boots,"Clothes,Boots,Side Quest,Gerudo,Camera",24
Kill a Igneo Talus,"Rupee,Gems,Miniboss,Talus,Eldin",24
